time	V(n001)	I(V1)	Ix(x1:vdd)	Ix(x2:vdd)	Ix(x3:vdd)	Ix(x4:vdd)
1.761113107203818e-06	3.000000e-01	-5.371228e-06	1.689025e-06	1.327260e-06	1.781350e-08	2.339644e-06
1.771353107203884e-06	3.000000e-01	-5.371257e-06	1.689117e-06	1.326962e-06	1.781349e-08	2.339644e-06
1.781593107203950e-06	3.000000e-01	-5.371667e-06	1.689214e-06	1.326855e-06	1.781347e-08	2.339644e-06
1.791833107204015e-06	3.000000e-01	-5.372545e-06	1.689311e-06	1.326996e-06	1.781345e-08	2.339644e-06
1.802073107204081e-06	3.000000e-01	-5.373978e-06	1.689404e-06	1.327450e-06	1.781343e-08	2.339644e-06
1.812313107204147e-06	3.000000e-01	-5.376053e-06	1.689487e-06	1.328284e-06	1.781340e-08	2.339644e-06
1.822553107204213e-06	3.000000e-01	-5.378845e-06	1.689553e-06	1.329563e-06	1.781337e-08	2.339644e-06
1.832793107204279e-06	3.000000e-01	-5.382416e-06	1.689594e-06	1.331348e-06	1.781334e-08	2.339644e-06
1.843033107204344e-06	3.000000e-01	-5.386807e-06	1.689601e-06	1.333693e-06	1.781330e-08	2.339644e-06
1.853273107204410e-06	3.000000e-01	-5.392024e-06	1.689566e-06	1.336637e-06	1.781327e-08	2.339644e-06
1.863513107204476e-06	3.000000e-01	-5.398036e-06	1.689480e-06	1.340201e-06	1.781325e-08	2.339644e-06
1.873753107204542e-06	3.000000e-01	-5.404754e-06	1.689333e-06	1.344377e-06	1.781323e-08	2.339644e-06
1.883993107204608e-06	3.000000e-01	-5.412025e-06	1.689119e-06	1.349122e-06	1.781323e-08	2.339644e-06
1.894233107204674e-06	3.000000e-01	-5.419618e-06	1.688830e-06	1.354346e-06	1.781324e-08	2.339644e-06
1.904473107204739e-06	3.000000e-01	-5.427205e-06	1.688460e-06	1.359906e-06	1.781328e-08	2.339644e-06
1.914713107204649e-06	3.000000e-01	-5.434357e-06	1.688003e-06	1.365593e-06	1.781333e-08	2.339644e-06
1.924953107204498e-06	3.000000e-01	-5.440535e-06	1.687456e-06	1.371124e-06	1.781341e-08	2.339644e-06
1.935193107204347e-06	3.000000e-01	-5.445091e-06	1.686820e-06	1.376139e-06	1.781352e-08	2.339644e-06
1.945433107204196e-06	3.000000e-01	-5.447286e-06	1.686098e-06	1.380199e-06	1.781364e-08	2.339644e-06
1.955673107204045e-06	3.000000e-01	-5.446312e-06	1.685302e-06	1.382796e-06	1.781377e-08	2.339644e-06
1.965913107203894e-06	3.000000e-01	-5.441336e-06	1.684453e-06	1.383364e-06	1.781390e-08	2.339644e-06
1.976153107203743e-06	3.000000e-01	-5.431543e-06	1.683584e-06	1.381304e-06	1.781403e-08	2.339644e-06
1.986393107203592e-06	3.000000e-01	-5.416184e-06	1.682744e-06	1.376010e-06	1.781415e-08	2.339644e-06
1.996633107203441e-06	3.000000e-01	-5.394615e-06	1.681996e-06	1.366896e-06	1.781425e-08	2.339644e-06
2.006873107203290e-06	3.000000e-01	-5.366351e-06	1.681419e-06	1.353430e-06	1.781437e-08	2.339644e-06
2.017113107203139e-06	3.000000e-01	-5.331141e-06	1.681118e-06	1.335189e-06	1.781450e-08	2.339644e-06
2.027353107202988e-06	3.000000e-01	-5.289107e-06	1.681223e-06	1.311929e-06	1.781470e-08	2.339644e-06
2.037593107202837e-06	3.000000e-01	-5.240937e-06	1.681919e-06	1.283697e-06	1.781502e-08	2.339644e-06
2.047833107202686e-06	3.000000e-01	-5.188102e-06	1.683468e-06	1.250951e-06	1.781553e-08	2.339644e-06
2.058073107202535e-06	3.000000e-01	-5.133011e-06	1.686254e-06	1.214644e-06	1.781636e-08	2.339644e-06
2.068313107202384e-06	3.000000e-01	-5.079027e-06	1.690840e-06	1.176231e-06	1.781765e-08	2.339644e-06
2.078553107202233e-06	3.000000e-01	-5.030335e-06	1.698036e-06	1.137485e-06	1.781960e-08	2.339644e-06
2.088793107202082e-06	3.000000e-01	-4.991576e-06	1.708959e-06	1.099783e-06	1.782242e-08	2.339644e-06
2.099033107201931e-06	3.000000e-01	-4.966754e-06	1.724996e-06	1.061178e-06	1.782619e-08	2.339644e-06
2.109273107201780e-06	3.000000e-01	-4.957943e-06	1.747448e-06	1.019136e-06	1.783059e-08	2.339644e-06
2.110598821487475e-06	3.000000e-01	-4.959610e-06	1.750869e-06	1.014214e-06	1.783117e-08	2.339644e-06
2.111924535773169e-06	3.000000e-01	-4.960353e-06	1.754418e-06	1.009159e-06	1.783176e-08	2.339644e-06
2.113250250058864e-06	3.000000e-01	-4.960172e-06	1.758095e-06	1.003969e-06	1.783238e-08	2.339644e-06
2.114575964344559e-06	3.000000e-01	-4.959068e-06	1.761901e-06	9.986443e-07	1.783301e-08	2.339644e-06
2.115901678630254e-06	3.000000e-01	-4.957040e-06	1.765835e-06	9.931856e-07	1.783367e-08	2.339644e-06
2.117227392915948e-06	3.000000e-01	-4.954089e-06	1.769897e-06	9.875926e-07	1.783434e-08	2.339644e-06
2.118553107201643e-06	3.000000e-01	-4.950213e-06	1.774088e-06	9.818652e-07	1.783503e-08	2.339644e-06
2.119513107201629e-06	3.000000e-01	-4.940547e-06	1.777231e-06	9.763685e-07	1.783568e-08	2.339644e-06
2.120734535773039e-06	3.000000e-01	-4.930463e-06	1.781452e-06	9.696445e-07	1.783690e-08	2.339644e-06
2.121955964344450e-06	3.000000e-01	-4.922806e-06	1.785851e-06	9.633920e-07	1.783807e-08	2.339644e-06
2.123177392915861e-06	3.000000e-01	-4.917574e-06	1.790429e-06	9.576110e-07	1.783919e-08	2.339644e-06
2.124398821487271e-06	3.000000e-01	-4.914769e-06	1.795185e-06	9.523014e-07	1.784025e-08	2.339644e-06
2.125620250058682e-06	3.000000e-01	-4.914389e-06	1.800119e-06	9.474633e-07	1.784127e-08	2.339644e-06
2.126841678630092e-06	3.000000e-01	-4.916435e-06	1.805232e-06	9.430966e-07	1.784223e-08	2.339644e-06
2.128063107201503e-06	3.000000e-01	-4.920907e-06	1.810523e-06	9.392014e-07	1.784315e-08	2.339644e-06
2.129753107201478e-06	3.000000e-01	-4.924486e-06	1.818039e-06	9.334560e-07	1.784418e-08	2.339644e-06
2.139993107201327e-06	3.000000e-01	-4.960367e-06	1.869023e-06	9.034229e-07	1.784813e-08	2.339644e-06
2.150233107201176e-06	3.000000e-01	-5.018270e-06	1.926710e-06	8.818533e-07	1.784617e-08	2.339644e-06
2.160473107201025e-06	3.000000e-01	-5.093061e-06	1.984854e-06	8.695754e-07	1.783267e-08	2.339644e-06
2.170713107200874e-06	3.000000e-01	-5.177696e-06	2.034441e-06	8.683368e-07	1.780006e-08	2.339644e-06
2.172175964343710e-06	3.000000e-01	-5.190204e-06	2.040306e-06	8.691907e-07	1.779340e-08	2.339644e-06
2.173638821486545e-06	3.000000e-01	-5.202749e-06	2.045725e-06	8.703722e-07	1.778606e-08	2.339644e-06
